ord_scol,tipo_orario,num_anni,etichetta,percentuale_ammessi,anno,miur_code,school_id
High School,Morning,5,2021-22,97.42647058823528,5,TNPS02000D,29905
High School,Morning,5,2021-22,97.42647058823528,5,TNPS02000D,29906
Primary School,Morning,5,2021-22,97.5609756097561,1,TNIC85000Q,29911
Primary School,Morning,5,2021-22,97.5609756097561,1,TNIC85000Q,29912
Primary School,Morning,5,2021-22,97.5609756097561,1,TNIC85000Q,29913
Primary School,Morning,5,2021-22,97.5609756097561,1,TNIC85000Q,29914
Primary School,Morning,5,2021-22,100.0,2,TNIC85000Q,29911
Primary School,Morning,5,2021-22,100.0,2,TNIC85000Q,29912
Primary School,Morning,5,2021-22,100.0,2,TNIC85000Q,29913
Primary School,Morning,5,2021-22,100.0,2,TNIC85000Q,29914
Primary School,Morning,5,2021-22,100.0,3,TNIC85000Q,29911
Primary School,Morning,5,2021-22,100.0,3,TNIC85000Q,29912
Primary School,Morning,5,2021-22,100.0,3,TNIC85000Q,29913
Primary School,Morning,5,2021-22,100.0,3,TNIC85000Q,29914
Primary School,Morning,5,2021-22,100.0,4,TNIC85000Q,29911
Primary School,Morning,5,2021-22,100.0,4,TNIC85000Q,29912
Primary School,Morning,5,2021-22,100.0,4,TNIC85000Q,29913
Primary School,Morning,5,2021-22,100.0,4,TNIC85000Q,29914
Primary School,Morning,5,2021-22,100.0,5,TNIC85000Q,29911
Primary School,Morning,5,2021-22,100.0,5,TNIC85000Q,29912
Primary School,Morning,5,2021-22,100.0,5,TNIC85000Q,29913
Primary School,Morning,5,2021-22,100.0,5,TNIC85000Q,29914
Middle School,Morning,3,2021-22,100.0,1,TNIC85000Q,29915
Middle School,Morning,3,2021-22,100.0,1,TNIC85000Q,29916
Middle School,Morning,3,2021-22,100.0,1,TNIC85000Q,29917
Middle School,Morning,3,2021-22,100.0,2,TNIC85000Q,29915
Middle School,Morning,3,2021-22,100.0,2,TNIC85000Q,29916
Middle School,Morning,3,2021-22,100.0,2,TNIC85000Q,29917
Middle School,Morning,3,2021-22,98.14814814814817,3,TNIC85000Q,29915
Middle School,Morning,3,2021-22,98.14814814814817,3,TNIC85000Q,29916
Middle School,Morning,3,2021-22,98.14814814814817,3,TNIC85000Q,29917
High School,Morning,5,2021-22,94.6808510638298,1,TNIC85000Q,29908
High School,Morning,5,2021-22,94.6808510638298,1,TNIC85000Q,29909
High School,Morning,5,2021-22,94.6808510638298,1,TNIC85000Q,29910
High School,Morning,5,2021-22,93.18181818181816,2,TNIC85000Q,29908
High School,Morning,5,2021-22,93.18181818181816,2,TNIC85000Q,29909
High School,Morning,5,2021-22,93.18181818181816,2,TNIC85000Q,29910
High School,Morning,5,2021-22,98.96907216494846,3,TNIC85000Q,29908
High School,Morning,5,2021-22,98.96907216494846,3,TNIC85000Q,29909
High School,Morning,5,2021-22,98.96907216494846,3,TNIC85000Q,29910
High School,Morning,5,2021-22,96.25,4,TNIC85000Q,29908
High School,Morning,5,2021-22,96.25,4,TNIC85000Q,29909
High School,Morning,5,2021-22,96.25,4,TNIC85000Q,29910
