data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,anno_corso,miur_code
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO",TNTD020009,0221619503,DIURNO,0.0,77.0,0.0,2020/21,4,TNTD020009
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO",TNTD020009,0221619503,DIURNO,0.0,90.0,0.0,2020/21,5,TNTD020009
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO",TNTD020009,0221619503,SERALE,0.1111111111111111,9.0,1.0,2020/21,3,TNTD020009
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO",TNTD020009,0221619503,SERALE,0.0,9.0,0.0,2020/21,4,TNTD020009
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO",TNTD020009,0221619503,SERALE,0.07692307692307693,13.0,1.0,2020/21,5,TNTD020009
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO",TNTF02000G,0221619502,DIURNO,0.0,192.0,0.0,2020/21,1,TNTF02000G
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO",TNTF02000G,0221619502,DIURNO,0.0,205.0,0.0,2020/21,2,TNTF02000G
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO",TNTF02000G,0221619502,DIURNO,0.005050505050505051,198.0,1.0,2020/21,3,TNTF02000G
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO",TNTF02000G,0221619502,DIURNO,0.0,158.0,0.0,2020/21,4,TNTF02000G
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO",TNTF02000G,0221619502,DIURNO,0.0,172.0,0.0,2020/21,5,TNTF02000G
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO",TNTF02000G,0221619502,SERALE,0.25,20.0,5.0,2020/21,3,TNTF02000G
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO",TNTF02000G,0221619502,SERALE,0.0,13.0,0.0,2020/21,4,TNTF02000G
1640991601000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO",TNTF02000G,0221619502,SERALE,0.0,12.0,0.0,2020/21,5,TNTF02000G
1640991602000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO TECNOLOGICO ""M. Buonarroti"" - TRENTO",TNIS013001,0222059502,DIURNO,0.009036144578313253,332.0,3.0,2020/21,1,TNIS013001
1640991602000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO TECNOLOGICO ""M. Buonarroti"" - TRENTO",TNIS013001,0222059502,DIURNO,0.003067484662576687,326.0,1.0,2020/21,2,TNIS013001
1640991602000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO TECNOLOGICO ""M. Buonarroti"" - TRENTO",TNIS013001,0222059502,DIURNO,0.003322259136212625,301.0,1.0,2020/21,3,TNIS013001
1640991602000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO TECNOLOGICO ""M. Buonarroti"" - TRENTO",TNIS013001,0222059502,DIURNO,0.0,302.0,0.0,2020/21,4,TNIS013001
1640991602000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO TECNOLOGICO ""M. Buonarroti"" - TRENTO",TNIS013001,0222059502,DIURNO,0.003448275862068966,290.0,1.0,2020/21,5,TNIS013001
1640991602000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO TECNOLOGICO ""M. Buonarroti"" - TRENTO",TNIS013001,0222059502,SERALE,0.6229508196721312,61.0,38.0,2020/21,3,TNIS013001
1640991602000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO TECNOLOGICO ""M. Buonarroti"" - TRENTO",TNIS013001,0222059502,SERALE,0.32,25.0,8.0,2020/21,4,TNIS013001
1640991602000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO TECNOLOGICO ""M. Buonarroti"" - TRENTO",TNIS013001,0222059502,SERALE,0.058823529411764705,17.0,1.0,2020/21,5,TNIS013001
1640991601000,SECONDARIA DI SECONDO GRADO,4,"LICEO ""A. Rosmini"" - ROVERETO",TNPC02000A,0221619505,DIURNO,0.0,206.0,0.0,2020/21,1,TNPC02000A
1640991601000,SECONDARIA DI SECONDO GRADO,4,"LICEO ""A. Rosmini"" - ROVERETO",TNPC02000A,0221619505,DIURNO,0.004166666666666667,240.0,1.0,2020/21,2,TNPC02000A
1640991601000,SECONDARIA DI SECONDO GRADO,4,"LICEO ""A. Rosmini"" - ROVERETO",TNPC02000A,0221619505,DIURNO,0.0,215.0,0.0,2020/21,3,TNPC02000A
1640991601000,SECONDARIA DI SECONDO GRADO,4,"LICEO ""A. Rosmini"" - ROVERETO",TNPC02000A,0221619505,DIURNO,0.0,225.0,0.0,2020/21,4,TNPC02000A
