,Unnamed: 0,data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,anno_corso,miur_code
79,79,1640991601000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. E G. FONTANA"" - ROVERETO",TNTD020009,221619503,Evening,0.0,9.0,0.0,2020-21,4,TNTD020009
80,80,1640991601000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. E G. FONTANA"" - ROVERETO",TNTD020009,221619503,Evening,0.0769230769230769,13.0,1.0,2020-21,5,TNTD020009
81,81,1640991601000,High School,4,"ISTITUTO TECNICO TECNOLOGICO ""G. MARCONI"" - ROVERETO",TNTF02000G,221619502,Morning,0.0,192.0,0.0,2020-21,1,TNTF02000G
82,82,1640991601000,High School,4,"ISTITUTO TECNICO TECNOLOGICO ""G. MARCONI"" - ROVERETO",TNTF02000G,221619502,Morning,0.0,205.0,0.0,2020-21,2,TNTF02000G
83,83,1640991601000,High School,4,"ISTITUTO TECNICO TECNOLOGICO ""G. MARCONI"" - ROVERETO",TNTF02000G,221619502,Morning,0.005050505050505,198.0,1.0,2020-21,3,TNTF02000G
84,84,1640991601000,High School,4,"ISTITUTO TECNICO TECNOLOGICO ""G. MARCONI"" - ROVERETO",TNTF02000G,221619502,Morning,0.0,158.0,0.0,2020-21,4,TNTF02000G
85,85,1640991601000,High School,4,"ISTITUTO TECNICO TECNOLOGICO ""G. MARCONI"" - ROVERETO",TNTF02000G,221619502,Morning,0.0,172.0,0.0,2020-21,5,TNTF02000G
86,86,1640991601000,High School,4,"ISTITUTO TECNICO TECNOLOGICO ""G. MARCONI"" - ROVERETO",TNTF02000G,221619502,Evening,0.25,20.0,5.0,2020-21,3,TNTF02000G
87,87,1640991601000,High School,4,"ISTITUTO TECNICO TECNOLOGICO ""G. MARCONI"" - ROVERETO",TNTF02000G,221619502,Evening,0.0,13.0,0.0,2020-21,4,TNTF02000G
88,88,1640991601000,High School,4,"ISTITUTO TECNICO TECNOLOGICO ""G. MARCONI"" - ROVERETO",TNTF02000G,221619502,Evening,0.0,12.0,0.0,2020-21,5,TNTF02000G
89,89,1640991602000,High School,4,"ISTITUTO TECNICO TECNOLOGICO ""M. BUONARROTI"" - TRENTO",TNIS013001,222059502,Morning,0.0090361445783132,332.0,3.0,2020-21,1,TNIS013001
90,90,1640991602000,High School,4,"ISTITUTO TECNICO TECNOLOGICO ""M. BUONARROTI"" - TRENTO",TNIS013001,222059502,Morning,0.0030674846625766,326.0,1.0,2020-21,2,TNIS013001
91,91,1640991602000,High School,4,"ISTITUTO TECNICO TECNOLOGICO ""M. BUONARROTI"" - TRENTO",TNIS013001,222059502,Morning,0.0033222591362126,301.0,1.0,2020-21,3,TNIS013001
92,92,1640991602000,High School,4,"ISTITUTO TECNICO TECNOLOGICO ""M. BUONARROTI"" - TRENTO",TNIS013001,222059502,Morning,0.0,302.0,0.0,2020-21,4,TNIS013001
93,93,1640991602000,High School,4,"ISTITUTO TECNICO TECNOLOGICO ""M. BUONARROTI"" - TRENTO",TNIS013001,222059502,Morning,0.0034482758620689,290.0,1.0,2020-21,5,TNIS013001
94,94,1640991602000,High School,4,"ISTITUTO TECNICO TECNOLOGICO ""M. BUONARROTI"" - TRENTO",TNIS013001,222059502,Evening,0.6229508196721312,61.0,38.0,2020-21,3,TNIS013001
95,95,1640991602000,High School,4,"ISTITUTO TECNICO TECNOLOGICO ""M. BUONARROTI"" - TRENTO",TNIS013001,222059502,Evening,0.32,25.0,8.0,2020-21,4,TNIS013001
96,96,1640991602000,High School,4,"ISTITUTO TECNICO TECNOLOGICO ""M. BUONARROTI"" - TRENTO",TNIS013001,222059502,Evening,0.0588235294117647,17.0,1.0,2020-21,5,TNIS013001
97,97,1640991601000,High School,4,"LICEO ""A. ROSMINI"" - ROVERETO",TNPC02000A,221619505,Morning,0.0,206.0,0.0,2020-21,1,TNPC02000A
98,98,1640991601000,High School,4,"LICEO ""A. ROSMINI"" - ROVERETO",TNPC02000A,221619505,Morning,0.0041666666666666,240.0,1.0,2020-21,2,TNPC02000A
99,99,1640991601000,High School,4,"LICEO ""A. ROSMINI"" - ROVERETO",TNPC02000A,221619505,Morning,0.0,215.0,0.0,2020-21,3,TNPC02000A
100,100,1640991601000,High School,4,"LICEO ""A. ROSMINI"" - ROVERETO",TNPC02000A,221619505,Morning,0.0,225.0,0.0,2020-21,4,TNPC02000A
101,101,1640991601000,High School,4,"LICEO ""A. ROSMINI"" - ROVERETO",TNPC02000A,221619505,Morning,0.0,206.0,0.0,2020-21,5,TNPC02000A
102,102,1640991602000,High School,4,"LICEO ""A. ROSMINI"" - TRENTO",TNPM01000X,222059508,Morning,0.0284090909090909,176.0,5.0,2020-21,1,TNPM01000X
103,103,1640991602000,High School,4,"LICEO ""A. ROSMINI"" - TRENTO",TNPM01000X,222059508,Morning,0.0049019607843137,204.0,1.0,2020-21,2,TNPM01000X
104,104,1640991602000,High School,4,"LICEO ""A. ROSMINI"" - TRENTO",TNPM01000X,222059508,Morning,0.0148514851485148,202.0,3.0,2020-21,3,TNPM01000X
105,105,1640991602000,High School,4,"LICEO ""A. ROSMINI"" - TRENTO",TNPM01000X,222059508,Morning,0.0,197.0,0.0,2020-21,4,TNPM01000X
106,106,1640991602000,High School,4,"LICEO ""A. ROSMINI"" - TRENTO",TNPM01000X,222059508,Morning,0.0056497175141242,177.0,1.0,2020-21,5,TNPM01000X
107,107,1640991602000,High School,4,"LICEO ""A. ROSMINI"" - TRENTO",TNPM01000X,222059508,Evening,0.4133333333333333,75.0,31.0,2020-21,1,TNPM01000X
108,108,1640991602000,High School,4,"LICEO ""A. ROSMINI"" - TRENTO",TNPM01000X,222059508,Evening,0.1428571428571428,7.0,1.0,2020-21,2,TNPM01000X
109,109,1640991602000,High School,4,"LICEO ""A. ROSMINI"" - TRENTO",TNPM01000X,222059508,Evening,0.4390243902439024,41.0,18.0,2020-21,3,TNPM01000X
110,110,1640991602000,High School,4,"LICEO ""A. ROSMINI"" - TRENTO",TNPM01000X,222059508,Evening,0.3333333333333333,12.0,4.0,2020-21,4,TNPM01000X
111,111,1640991602000,High School,4,"LICEO ""A. ROSMINI"" - TRENTO",TNPM01000X,222059508,Evening,0.1153846153846153,26.0,3.0,2020-21,5,TNPM01000X
112,112,1640991601000,High School,4,"LICEO ""B. RUSSELL"" - CLES",TNIS00600T,220629503,Morning,0.0,182.0,0.0,2020-21,1,TNIS00600T
113,113,1640991601000,High School,4,"LICEO ""B. RUSSELL"" - CLES",TNIS00600T,220629503,Morning,0.0130718954248366,153.0,2.0,2020-21,2,TNIS00600T
114,114,1640991601000,High School,4,"LICEO ""B. RUSSELL"" - CLES",TNIS00600T,220629503,Morning,0.0106951871657754,187.0,2.0,2020-21,3,TNIS00600T
115,115,1640991601000,High School,4,"LICEO ""B. RUSSELL"" - CLES",TNIS00600T,220629503,Morning,0.0058479532163742,171.0,1.0,2020-21,4,TNIS00600T
116,116,1640991601000,High School,4,"LICEO ""B. RUSSELL"" - CLES",TNIS00600T,220629503,Morning,0.0,173.0,0.0,2020-21,5,TNIS00600T
117,117,1640991601000,High School,4,"LICEO ""F. FILZI"" - ROVERETO",TNPM02000E,221619504,Morning,0.0064102564102564,156.0,1.0,2020-21,1,TNPM02000E
118,118,1640991601000,High School,4,"LICEO ""F. FILZI"" - ROVERETO",TNPM02000E,221619504,Morning,0.0136054421768707,147.0,2.0,2020-21,2,TNPM02000E
119,119,1640991601000,High School,4,"LICEO ""F. FILZI"" - ROVERETO",TNPM02000E,221619504,Morning,0.0138888888888888,144.0,2.0,2020-21,3,TNPM02000E
120,120,1640991601000,High School,4,"LICEO ""F. FILZI"" - ROVERETO",TNPM02000E,221619504,Morning,0.0,116.0,0.0,2020-21,4,TNPM02000E
121,121,1640991601000,High School,4,"LICEO ""F. FILZI"" - ROVERETO",TNPM02000E,221619504,Morning,0.0,106.0,0.0,2020-21,5,TNPM02000E
122,122,1640991602000,High School,4,"LICEO CLASSICO ""G. PRATI"" - TRENTO",TNPC04000G,222059512,Morning,0.0,101.0,0.0,2020-21,1,TNPC04000G
123,123,1640991602000,High School,4,"LICEO CLASSICO ""G. PRATI"" - TRENTO",TNPC04000G,222059512,Morning,0.0,84.0,0.0,2020-21,2,TNPC04000G
124,124,1640991602000,High School,4,"LICEO CLASSICO ""G. PRATI"" - TRENTO",TNPC04000G,222059512,Morning,0.0,93.0,0.0,2020-21,3,TNPC04000G
125,125,1640991602000,High School,4,"LICEO CLASSICO ""G. PRATI"" - TRENTO",TNPC04000G,222059512,Morning,0.0,71.0,0.0,2020-21,4,TNPC04000G
126,126,1640991602000,High School,4,"LICEO CLASSICO ""G. PRATI"" - TRENTO",TNPC04000G,222059512,Morning,0.0,103.0,0.0,2020-21,5,TNPC04000G
127,127,1640991602000,High School,4,"LICEO SCIENTIFICO ""G. GALILEI"" - TRENTO",TNPS01000V,222059510,Morning,0.0,193.0,0.0,2020-21,1,TNPS01000V
128,128,1640991602000,High School,4,"LICEO SCIENTIFICO ""G. GALILEI"" - TRENTO",TNPS01000V,222059510,Morning,0.0051282051282051,195.0,1.0,2020-21,2,TNPS01000V
129,129,1640991602000,High School,4,"LICEO SCIENTIFICO ""G. GALILEI"" - TRENTO",TNPS01000V,222059510,Morning,0.0,180.0,0.0,2020-21,3,TNPS01000V
